book_title, precision_booknlp, recall_booknlp, f1_booknlp
1984,0.9444,0.75,0.418
AGameOfThrones,0.9612,0.6429,0.3852
AStudyInScarlet,0.2778,0.3846,0.1613
AliceInWonderland,0.8462,0.5986,0.3506
AssassinsApprentice,0.5909,0.3939,0.2364
BlackPrism,0.9118,0.9029,0.4537
BraveNewWorld,0.85,0.6071,0.3542
DavidCopperfield,0.5312,0.9714,0.3434
Dracula,0.0455,0.2,0.037
Elantris,0.8194,0.927,0.4349
Emma,0.8768,0.938,0.4532
Frankenstein,0.5517,0.9412,0.3478
GardensOfTheMoon,0.3333,0.3143,0.1618
HarryPotter,0.8407,0.9217,0.4397
HuckleberryFinn,0.8649,0.9552,0.4539
JekyllAndHyde,0.8636,0.8261,0.4222
Magician,0.6875,0.3976,0.2519
Mistborn,0.9478,0.8195,0.4395
MobyDick,0.6765,0.7419,0.3538
OliverTwist,0.8276,0.9524,0.4428
PrideAndPrejudice,0.8148,0.9735,0.4435
PrinceOfThorns,0.7333,0.7586,0.3729
StormFront,0.7143,0.75,0.3659
TheBlackCompany,0.2778,0.0943,0.0704
TheBladeItself,0.7857,0.7857,0.3929
TheCallOfTheWild,0.9333,0.3415,0.25
TheColourOfMagic,0.8125,0.325,0.2321
TheCountOfMonteCristo,0.7123,0.5909,0.323
TheFellowshipoftheRing,0.7449,0.7637,0.3771
TheGunslinger,0.6471,1.0,0.3929
TheLiesOfLockeLamora,0.8805,0.7568,0.407
TheNameOfTheWind,0.8642,0.7143,0.3911
ThePaintedMan,0.8889,0.7547,0.4082
TheThreeMusketeers,0.619,0.3333,0.2167
TheWayOfKings,0.814,0.9091,0.4294
TheWayOfShadows,0.6061,0.7407,0.3333
TheWayWeLiveNow,0.7547,0.9639,0.4233
TheWheelOfTime,0.7234,0.6497,0.3423
TinkerTailorSoldierSpy,0.858,0.8323,0.4225
Ulysses,0.7188,0.9857,0.4157
VanityFair,0.7336,0.8756,0.3992
