book_title, index_list, word_list
1984,[5505],['Sebastian']
1984,[6193],["O'Brien"]
1984,[6544],["O'Brien"]
AGameOfThrones,[336],['Starks']
AGameOfThrones,[618, 619, 620],['of', 'the', 'House']
AGameOfThrones,[666, 667, 668, 669],['Warden', 'of', 'the', 'North']
AGameOfThrones,[1551],['Starks']
AStudyInScarlet,[224],['Ghazis']
AStudyInScarlet,[236],['Murray']
AStudyInScarlet,[961],['Jove']
AStudyInScarlet,[1018, 1019],['Sherlock', 'Holmes']
AStudyInScarlet,[1544],['Holmes']
AStudyInScarlet,[1994, 1995, 1996],['Mr.', 'Sherlock', 'Holmes']
AStudyInScarlet,[2540, 2541],['Sherlock', 'Holmes']
AStudyInScarlet,[2631],['Mason']
AStudyInScarlet,[2638],['Muller']
AStudyInScarlet,[2641],['Lefevre']
AStudyInScarlet,[2646],['Samson']
AStudyInScarlet,[2720, 2721],['Sherlock', 'Holmes']
AStudyInScarlet,[2864, 2865],['Sherlock', 'Holmes']
AliceInWonderland,[802],['CURTSEYING']
AliceInWonderland,[1055],['Dinah']
AliceInWonderland,[1067],['Dinah']
AliceInWonderland,[2117],['Alice']
AliceInWonderland,[2826],['ALICE']
AliceInWonderland,[2841],['ALICE']
AliceInWonderland,[2955],['Alice']
AliceInWonderland,[3521],['Mabel']
AliceInWonderland,[3712],['Mabel']
AliceInWonderland,[4543, 4544],['the', 'Conqueror']
AliceInWonderland,[5555, 5556],['the', 'Conqueror']
AliceInWonderland,[6261],['Shakespeare']
AliceInWonderland,[6456],['Alice']
AliceInWonderland,[6859],['Said']
AliceInWonderland,[7142],['Ma']
AliceInWonderland,[7306],['Magpie']
AssassinsApprentice,[1191],['Mother']
AssassinsApprentice,[1193],['Mother']
AssassinsApprentice,[1828],['Prince']
AssassinsApprentice,[3029],['Jason']
AssassinsApprentice,[3408],['Jason']
AssassinsApprentice,[3547],['Burrich']
AssassinsApprentice,[3643],['Burrich']
AssassinsApprentice,[4227],['Burrich']
AssassinsApprentice,[4395],['Jason']
AssassinsApprentice,[4404],['Young']
AssassinsApprentice,[4447],['Jason']
AssassinsApprentice,[4619],['Fitz']
AssassinsApprentice,[4915],['Burrich']
AssassinsApprentice,[4937],['Burrich']
AssassinsApprentice,[5245],['Burrich']
AssassinsApprentice,[5322],['Buckkeep']
AssassinsApprentice,[5719],['Burrich']
AssassinsApprentice,[5812],['Nosy']
AssassinsApprentice,[6022],['Burrich']
AssassinsApprentice,[6120],['Burrich']
AssassinsApprentice,[6364],['Burrich']
AssassinsApprentice,[6391],['Burrich']
AssassinsApprentice,[6608],['Buckkeep']
AssassinsApprentice,[6626],['Buckkeep']
AssassinsApprentice,[7508],['Burrich']
AssassinsApprentice,[7698, 7699, 7700],['Lady', 'of', 'Withywoods']
AssassinsApprentice,[7706],['Withywoods']
BlackPrism,[259],['Rekton']
BlackPrism,[1079],['Swivin']
BlackPrism,[1421],['Coward']
BlackPrism,[1733],['Rekton']
BlackPrism,[1764],['Rekton']
BlackPrism,[1943],['Tyrean']
BlackPrism,[2635],['Dawn']
BlackPrism,[3795],['Elos']
BlackPrism,[4199],['Kip']
BraveNewWorld,[988],['Epsilons']
BraveNewWorld,[1003, 1004, 1005],['Bo', '-', 'kanovsky']
BraveNewWorld,[1010],['Bokanovsky']
BraveNewWorld,[1463],['Bokanovsky']
BraveNewWorld,[1752],['Podsnap']
BraveNewWorld,[4210],['Pilkington']
DavidCopperfield,[919],['Miss']
DavidCopperfield,[992],['Miss']
DavidCopperfield,[1035],['Miss']
DavidCopperfield,[1233, 1234],['Miss', 'Betsey']
DavidCopperfield,[1488, 1489],['Miss', 'Betsey']
DavidCopperfield,[1630],['Miss']
DavidCopperfield,[1658],['Miss']
DavidCopperfield,[1731],['Mrs.']
DavidCopperfield,[1740],['Miss']
DavidCopperfield,[1827],['Miss']
DavidCopperfield,[1892],['Miss']
DavidCopperfield,[1921],['Miss']
DavidCopperfield,[1968],['Miss']
DavidCopperfield,[2044],['Miss']
DavidCopperfield,[2128],['Miss']
DavidCopperfield,[2194],['Miss']
DavidCopperfield,[2227],['Miss']
DavidCopperfield,[2317, 2318],['Miss', 'Betsey']
DavidCopperfield,[2406],['Miss']
DavidCopperfield,[2435],['Miss']
DavidCopperfield,[2497],['Miss']
DavidCopperfield,[2645, 2646],['Miss', 'Betsey']
DavidCopperfield,[2701],['Miss']
DavidCopperfield,[2773],['Miss']
DavidCopperfield,[2817],['Miss']
DavidCopperfield,[2867],['Miss']
DavidCopperfield,[2921],['Miss']
DavidCopperfield,[2952],['Peggotty']
DavidCopperfield,[2994],['Miss']
DavidCopperfield,[3068],['Miss']
DavidCopperfield,[3116],['Miss']
DavidCopperfield,[3186],['Miss']
DavidCopperfield,[3288],['Miss']
DavidCopperfield,[3346],['Miss']
DavidCopperfield,[3386],['Miss']
DavidCopperfield,[3450],['Miss']
DavidCopperfield,[3490],['Miss']
DavidCopperfield,[3548, 3549],['Mr.', 'Copperfield']
DavidCopperfield,[3613],['Miss']
DavidCopperfield,[3658],['Miss']
DavidCopperfield,[3702],['Miss']
DavidCopperfield,[3761],['Miss']
DavidCopperfield,[3805],['Miss']
DavidCopperfield,[3883],['Miss']
DavidCopperfield,[3943],['Miss']
DavidCopperfield,[4034],['Miss']
DavidCopperfield,[4078],['Peggotty']
DavidCopperfield,[4100],['Miss']
DavidCopperfield,[4128, 4129],['Ham', 'Peggotty']
DavidCopperfield,[4216],['Peggotty']
DavidCopperfield,[4609, 4610],['Mr.', 'Chillip']
DavidCopperfield,[4682, 4683],['Mr.', 'Chillip']
DavidCopperfield,[4732, 4733],['Mr.', 'Chillip']
DavidCopperfield,[4822, 4823],['Mr.', 'Chillip']
DavidCopperfield,[4907],['Peggotty']
DavidCopperfield,[4960],['Miss']
DavidCopperfield,[5199, 5200],['Mr.', 'Chillip']
DavidCopperfield,[5453, 5454],['Mr.', 'Chillip']
DavidCopperfield,[5515, 5516],['Mr.', 'Chillip']
DavidCopperfield,[5602, 5603],['Mr.', 'Chillip']
Dracula,[6],['Bistritz']
Dracula,[10, 11],['Left', 'Munich']
Dracula,[41, 42, 43],['Buda', '-', 'Pesth']
Dracula,[418],['Bistritz']
Dracula,[458],['Mina']
Dracula,[481],['Wallachs']
