book_title, precision_booknlp, recall_booknlp, f1_booknlp
1023_bleak_house,1.0,0.1949,0.1631
105_persuasion,0.9459,0.2846,0.2188
1064_the_masque_of_the_red_death,0.75,0.0638,0.0588
110_tess_of_the_durbervilles_a_pure_woman,0.7273,0.1818,0.1455
11231_bartleby_the_scrivener_a_story_of_wallstreet,1.0,0.026,0.0253
113_the_secret_garden,0.8889,0.1429,0.1231
1155_the_secret_adversary,0.913,0.2283,0.1826
11_alices_adventures_in_wonderland,0.8077,0.5122,0.3134
1206_the_flying_u_ranch,1.0,0.125,0.1111
120_treasure_island,0.5,0.0506,0.046
1245_night_and_day,1.0,0.4476,0.3092
1260_jane_eyre_an_autobiography,0.9394,0.5,0.3263
12677_personality_plus_some_experiences_of_emma_mcchesney_and_her_son_jock,0.95,0.2468,0.1959
1327_elizabeth_and_her_german_garden,0.3333,0.0385,0.0345
1342_pride_and_prejudice,1.0,0.4234,0.2975
1400_great_expectations,1.0,0.1529,0.1327
145_middlemarch,0.9737,0.3136,0.2372
15265_the_quest_of_the_silver_fleece_a_novel,0.6667,0.0952,0.0833
155_the_moonstone,1.0,0.0899,0.0825
158_emma,0.975,0.3786,0.2727
160_the_awakening_and_selected_short_stories,0.9744,0.4419,0.304
16357_mary_a_fiction,0.8333,0.0806,0.0735
1661_the_adventures_of_sherlock_holmes,0.9231,0.2449,0.1935
1695_the_man_who_was_thursday_a_nightmare,0.8667,0.1461,0.125
171_charlotte_temple,0.9333,0.1667,0.1414
174_the_picture_of_dorian_gray,1.0,0.3,0.2308
18581_adrift_in_new_york_tom_and_florence_braving_the_world,0.9744,0.3016,0.2303
2005_piccadilly_jim,1.0,0.337,0.252
2084_the_way_of_all_flesh,0.9048,0.2021,0.1652
208_daisy_miller_a_study,0.9524,0.2247,0.1818
2095_clotelle_a_tale_of_the_southern_states,1.0,0.1379,0.1212
209_the_turn_of_the_screw,0.8889,0.2105,0.1702
215_the_call_of_the_wild,1.0,0.1481,0.129
2166_king_solomons_mines,1.0,0.0658,0.0617
217_sons_and_lovers,0.5455,0.1622,0.125
219_heart_of_darkness,0.8,0.0615,0.0571
233_sister_carrie_a_novel,0.875,0.1556,0.1321
238_dear_enemy,0.8846,0.2644,0.2035
2489_moby_dick,1.0,0.0526,0.05
24_o_pioneers,0.9583,0.3108,0.2347
2641_a_room_with_a_view,0.881,0.3558,0.2534
271_black_beauty,1.0,0.0568,0.0538
2775_the_good_soldier,1.0,0.1375,0.1209
27_far_from_the_madding_crowd,1.0,0.1875,0.1579
2807_to_have_and_to_hold,1.0,0.1343,0.1184
2814_dubliners,0.8,0.1212,0.1053
2852_the_hound_of_the_baskervilles,0.8846,0.3026,0.2255
2891_howards_end,0.9474,0.4615,0.3103
3268_the_mysteries_of_udolpho,1.0,0.24,0.1935
32_herland,1.0,0.2817,0.2198
33_the_scarlet_letter,1.0,0.0494,0.0471
3457_the_man_of_the_forest,0.9714,0.3617,0.2636
345_dracula,0.6667,0.1277,0.1071
351_of_human_bondage,0.9375,0.2542,0.2
367_country_of_the_pointed_firs,0.9375,0.2885,0.2206
36_the_war_of_the_worlds,0.5,0.0256,0.0244
4051_lady_bridget_in_the_nevernever_land_a_story_of_australian_life,1.0,0.5833,0.3684
41286_miss_marjoribanks,1.0,0.2439,0.1961
41_the_legend_of_sleepy_hollow,1.0,0.069,0.0645
4217_a_portrait_of_the_artist_as_a_young_man,0.9216,0.3884,0.2733
4276_north_and_south,0.9831,0.4567,0.3118
4300_ulysses,0.9636,0.5048,0.3312
432_the_ambassadors,1.0,0.2182,0.1791
434_the_circular_staircase,0.925,0.4205,0.2891
44_the_song_of_the_lark,1.0,0.3176,0.2411
45_anne_of_green_gables,0.9344,0.6264,0.375
472_the_house_behind_the_cedars,0.9231,0.1765,0.1481
502_desert_gold,0.973,0.4235,0.2951
514_little_women,0.96,0.4068,0.2857
521_the_life_and_adventures_of_robinson_crusoe,0.6667,0.0278,0.0267
5230_the_invisible_man_a_grotesque_romance,0.9231,0.3077,0.2308
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks,0.9722,0.3465,0.2555
541_the_age_of_innocence,0.9474,0.2571,0.2022
543_main_street,0.8333,0.2174,0.1724
550_silas_marner,0.875,0.1818,0.1505
599_vanity_fair,1.0,0.3137,0.2388
6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world,0.871,0.2727,0.2077
60_the_scarlet_pimpernel,0.9565,0.1732,0.1467
62_a_princess_of_mars,1.0,0.2881,0.2237
6593_history_of_tom_jones_a_foundling,1.0,0.0843,0.0778
711_allan_quatermain,0.6667,0.0541,0.05
730_oliver_twist,0.8462,0.1183,0.1038
73_the_red_badge_of_courage_an_episode_of_the_american_civil_war,1.0,0.1698,0.1452
74_the_adventures_of_tom_sawyer,0.9643,0.3333,0.2477
766_david_copperfield,1.0,0.1806,0.1529
768_wuthering_heights,0.9333,0.2593,0.2029
76_adventures_of_huckleberry_finn,1.0,0.3393,0.2533
77_the_house_of_the_seven_gables,0.8462,0.1375,0.1183
78_tarzan_of_the_apes,0.8696,0.1802,0.1493
805_this_side_of_paradise,0.9444,0.3238,0.2411
829_gullivers_travels_into_several_remote_nations_of_the_world,0.5833,0.0875,0.0761
84_frankenstein_or_the_modern_prometheus,1.0,0.1053,0.0952
876_life_in_the_ironmills_or_the_korl_woman,0.6,0.087,0.0759
8867_the_magnificent_ambersons,0,0,0
932_the_fall_of_the_house_of_usher,1.0,0.0625,0.0588
940_the_last_of_the_mohicans_a_narrative_of_1757,0.25,0.0133,0.0127
95_the_prisoner_of_zenda,1.0,0.2451,0.1969
969_the_tenant_of_wildfell_hall,1.0,0.3077,0.2353
974_the_secret_agent_a_simple_tale,1.0,0.3333,0.25
9830_the_beautiful_and_damned,1.0,0.2124,0.1752
