book_title, index_list, word_list
105_persuasion,[401, 402],['Kellynch', 'Hall']
105_persuasion,[1451],['haggard']
1064_the_masque_of_the_red_death,[1323],['Hernani']
110_tess_of_the_durbervilles_a_pure_woman,[37],['Blakemore']
110_tess_of_the_durbervilles_a_pure_woman,[647],['Ye']
110_tess_of_the_durbervilles_a_pure_woman,[1658, 1659],['--', 'that']
110_tess_of_the_durbervilles_a_pure_woman,[1692],['Dost']
110_tess_of_the_durbervilles_a_pure_woman,[1702, 1703, 1704, 1705, 1706],['Kingsbere', '-', 'sub', '-', 'Greenhill']
110_tess_of_the_durbervilles_a_pure_woman,[1861],['Marlott']
113_the_secret_garden,[695],['Mary']
113_the_secret_garden,[1198],['Mary']
1155_the_secret_adversary,[1104],['Lyons']
1155_the_secret_adversary,[1725, 1726],['Thomas', 'Beresford']
11_alices_adventures_in_wonderland,[4, 5, 6],['Rabbit', '-', 'Hole']
11_alices_adventures_in_wonderland,[961],['Dinah']
11_alices_adventures_in_wonderland,[982],['Dinah']
11_alices_adventures_in_wonderland,[1126],['Dinah']
11_alices_adventures_in_wonderland,[1138],['Dinah']
120_treasure_island,[15],['Benbow']
120_treasure_island,[94],['Benbow']
120_treasure_island,[797],['Benbow']
120_treasure_island,[1898],['Benbow']
1260_jane_eyre_an_autobiography,[667, 668],['Nova', 'Zembla']
1260_jane_eyre_an_autobiography,[1056],['Bewick']
12677_personality_plus_some_experiences_of_emma_mcchesney_and_her_son_jock,[761],['Young']
1327_elizabeth_and_her_german_garden,[1201],['Mays']
1327_elizabeth_and_her_german_garden,[1901],['Solomon']
145_middlemarch,[549],['Tipton']
15265_the_quest_of_the_silver_fleece_a_novel,[1972],['Yon']
158_emma,[971],['Hartfield']
160_the_awakening_and_selected_short_stories,[124],['Lebrun']
16357_mary_a_fiction,[2],['I.']
1661_the_adventures_of_sherlock_holmes,[1920],['Eglow']
1695_the_man_who_was_thursday_a_nightmare,[1952],['Victoria']
1695_the_man_who_was_thursday_a_nightmare,[1963],['Victoria']
171_charlotte_temple,[562],['Charlotte']
18581_adrift_in_new_york_tom_and_florence_braving_the_world,[993],['Blackwell']
2084_the_way_of_all_flesh,[1290, 1291],['--', 'thou']
2084_the_way_of_all_flesh,[1582],['Samson']
208_daisy_miller_a_study,[1331],['Winterbourne']
209_the_turn_of_the_screw,[1504],['Douglas']
217_sons_and_lovers,[38, 39],['Greenhill', 'Lane']
217_sons_and_lovers,[221],['Carston']
217_sons_and_lovers,[223],['Waite']
217_sons_and_lovers,[304],['Selby']
217_sons_and_lovers,[306],['Nuttall']
217_sons_and_lovers,[370],['Minton']
217_sons_and_lovers,[380],['Hill']
217_sons_and_lovers,[392],['Selby']
217_sons_and_lovers,[434],['Waite']
217_sons_and_lovers,[540],['Selby']
219_heart_of_darkness,[2],['Nellie']
233_sister_carrie_a_novel,[1925, 1926],['Lincoln', 'Park']
238_dear_enemy,[49],['Home']
238_dear_enemy,[993],['Jane']
238_dear_enemy,[1555],['Home']
24_o_pioneers,[984],['Kitty']
2641_a_room_with_a_view,[60],['Lucy']
2641_a_room_with_a_view,[163, 164, 165],['M.', 'A.', 'Oxon']
2641_a_room_with_a_view,[1512, 1513],['Tunbridge', 'Wells']
2641_a_room_with_a_view,[1739],['Settignano']
2641_a_room_with_a_view,[1864],['Bertolini']
2814_dubliners,[1141, 1142],['S.', 'Catherine']
2814_dubliners,[1156, 1157, 1158],['R.', 'I.', 'P']
2852_the_hound_of_the_baskervilles,[1465],['Grimpen']
2852_the_hound_of_the_baskervilles,[1469],['Devon']
2852_the_hound_of_the_baskervilles,[1488],['Jackson']
2891_howards_end,[968, 969],['HOWARDS', 'END']
2891_howards_end,[1382, 1383],['HOWARDS', 'END']
3457_the_man_of_the_forest,[1645, 1646],['--', 'an']
345_dracula,[18],['Bistritz']
345_dracula,[53, 54, 55],['Buda', '-', 'Pesth']
345_dracula,[430],['Bistritz']
351_of_human_bondage,[999],['Hulloa']
351_of_human_bondage,[1869],['Henrietta']
367_country_of_the_pointed_firs,[331],['LATER']
36_the_war_of_the_worlds,[1940],['Ottershaw']
4217_a_portrait_of_the_artist_as_a_young_man,[173, 174],['Tralala', 'lala']
4217_a_portrait_of_the_artist_as_a_young_man,[176, 177],['Tralala', 'lala']
4217_a_portrait_of_the_artist_as_a_young_man,[1804],['York']
4217_a_portrait_of_the_artist_as_a_young_man,[1864],['York']
4276_north_and_south,[1454],['Edith']
4300_ulysses,[304],['Chrysostomos']
4300_ulysses,[1090],['Kinch']
434_the_circular_staircase,[1124],['Anne']
434_the_circular_staircase,[1128, 1129],['Mary', 'Anne']
434_the_circular_staircase,[1927],['Thomas']
45_anne_of_green_gables,[84],['Lynde']
45_anne_of_green_gables,[517],['Carmody']
45_anne_of_green_gables,[936],['Lynde']
45_anne_of_green_gables,[1208],['Lombardies']
472_the_house_behind_the_cedars,[1565],['Dat']
502_desert_gold,[263],['Cameron']
514_little_women,[329],['Undine']
514_little_women,[392],['Faber']
521_the_life_and_adventures_of_robinson_crusoe,[43],['Hull']
5230_the_invisible_man_a_grotesque_romance,[1635],['Talkin']
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks,[289],['Dick']
541_the_age_of_innocence,[267],['Brown']
543_main_street,[50],['Paul']
543_main_street,[360],['Blodgett']
543_main_street,[1311],['Paul']
543_main_street,[2138],['Elsie']
550_silas_marner,[1098],['Raveloe']
550_silas_marner,[1388],['Raveloe']
6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world,[9, 10],['Howard', 'Grove']
6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world,[12],['Kent']
6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world,[624, 625],['Howard', 'Grove']
6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world,[669, 670],['Berry', 'Hill']
60_the_scarlet_pimpernel,[1495, 1496],['Scarlet', 'Pimpernel']
711_allan_quatermain,[1532],['Kenia']
711_allan_quatermain,[1914],['Kenia']
730_oliver_twist,[662],['Lor']
730_oliver_twist,[701],['Lor']
74_the_adventures_of_tom_sawyer,[1080],['Tom']
768_wuthering_heights,[193, 194],['Thrushcross', 'Grange']
77_the_house_of_the_seven_gables,[576],['Maule']
