book_title, index_list, word_list
AliceInWonderland,[799],['CURTSEYING']
AliceInWonderland,[1052],['Dinah']
AliceInWonderland,[1064],['Dinah']
DavidCopperfield,[916],['Miss']
DavidCopperfield,[989],['Miss']
DavidCopperfield,[1032],['Miss']
DavidCopperfield,[1230, 1231],['Miss', 'Betsey']
DavidCopperfield,[1485, 1486],['Miss', 'Betsey']
DavidCopperfield,[1627],['Miss']
DavidCopperfield,[1655],['Miss']
DavidCopperfield,[1728],['Mrs.']
DavidCopperfield,[1737],['Miss']
DavidCopperfield,[1824],['Miss']
DavidCopperfield,[1889],['Miss']
DavidCopperfield,[1918],['Miss']
DavidCopperfield,[1965],['Miss']
Dracula,[6],['Bistritz']
Dracula,[10, 11],['Left', 'Munich']
Dracula,[41, 42, 43],['Buda', '-', 'Pesth']
Dracula,[418],['Bistritz']
Dracula,[458],['Mina']
Dracula,[481],['Wallachs']
Dracula,[517],['Attila']
Dracula,[1386, 1387],['Jonathan', 'Harker']
Dracula,[1750],['Herr']
Dracula,[2249],['Mina']
Emma,[760, 761],['Mr.', 'Woodhouse']
Emma,[880],['Isabella']
Emma,[918],['Hartfield']
Emma,[998],['Emma']
Emma,[1117, 1118],['Miss', 'Taylor']
Emma,[1152, 1153],['Miss', 'Taylor']
Emma,[1227, 1228],['Miss', 'Taylor']
Emma,[1574],['Hannah']
Frankenstein,[576, 577],['Uncle', 'Thomas']
Frankenstein,[703],['Shakespeare']
Frankenstein,[1278],['Margaret']
Frankenstein,[1311],['R.']
Frankenstein,[1426],['Margaret']
Frankenstein,[1626],['Thomas']
HuckleberryFinn,[105],['Widow']
HuckleberryFinn,[226],['Douglas']
HuckleberryFinn,[659],['Moses']
HuckleberryFinn,[722, 723],['Miss', 'Watson']
HuckleberryFinn,[1677, 1678],['Tom', 'Sawyer']
HuckleberryFinn,[1954],['Jim']
HuckleberryFinn,[2149],['Jim']
MobyDick,[1072],['Narcissus']
MobyDick,[1276],['Cook']
MobyDick,[1552, 1553],['Van', 'Rensselaers']
MobyDick,[1694],['Gabriel']
OliverTwist,[149, 150],['Oliver', 'Twist']
OliverTwist,[534],['Lor']
OliverTwist,[573],['Lor']
OliverTwist,[1653, 1654],['Oliver', 'Twist']
PrideAndPrejudice,[97, 98],['Mrs.', 'Long']
PrideAndPrejudice,[219, 220],['Mr.', 'Morris']
PrideAndPrejudice,[443, 444],['Mr.', 'Bingley']
PrideAndPrejudice,[641, 642],['Mr.', 'Bingley']
PrideAndPrejudice,[688],['Lizzy']
PrideAndPrejudice,[701],['Lizzy']
PrideAndPrejudice,[722],['Jane']
PrideAndPrejudice,[772],['Lizzy']
PrideAndPrejudice,[1117, 1118],['Mr.', 'Bingley']
PrideAndPrejudice,[1123],['Lizzy']
PrideAndPrejudice,[1352],['Lizzy']
PrideAndPrejudice,[1436],['Bennet']
PrideAndPrejudice,[1664, 1665],['Mr.', 'Bingley']
PrideAndPrejudice,[1673, 1674],['Mr.', 'Bingley']
TheCallOfTheWild,[987],['Manuel']
Ulysses,[49],['Kinch']
Ulysses,[205],['Christine']
Ulysses,[273],['Chrysostomos']
Ulysses,[569, 570],['--', 'God']
Ulysses,[583],['Saxon']
Ulysses,[640],['Kinch']
Ulysses,[665],['Stephen']
Ulysses,[770, 771],['--', 'Scutter']
Ulysses,[1045],['Stephen']
Ulysses,[1426],['Kinch']
Ulysses,[1460, 1461],['Buck', 'Mulligan']
Ulysses,[1501],['Stephen']
Ulysses,[1691],['Malachi']
Ulysses,[1714],['Stephen']
Ulysses,[1992],['Seymour']
VanityFair,[26, 27],['Miss', 'Pinkerton']
VanityFair,[79],['Pinkerton']
VanityFair,[102],['Mrs.']
VanityFair,[158],['Pinkerton']
VanityFair,[201, 202],['Miss', 'Jemima']
VanityFair,[252],['Mrs.']
VanityFair,[274],['Jemima']
VanityFair,[344],['Pinkerton']
VanityFair,[395],['Pinkerton']
VanityFair,[437],['Pinkerton']
VanityFair,[447],['Pinkerton']
VanityFair,[730, 731],['BARBARA', 'PINKERTON']
VanityFair,[785],['Pinkerton']
VanityFair,[858],['Samuel']
VanityFair,[930],['Pinkerton']
VanityFair,[966],['Pinkerton']
VanityFair,[974],['Becky']
VanityFair,[1005],['Becky']
VanityFair,[1015, 1016],['MISS', 'JEMIMA']
VanityFair,[1021],['Pinkerton']
VanityFair,[1070],['Becky']
VanityFair,[1093],['Pinkerton']
VanityFair,[1142],['Pinkerton']
VanityFair,[1290],['Pinkerton']
VanityFair,[1344],['Hillisberg']
VanityFair,[1464, 1465],['Lord', 'Dexter']
VanityFair,[1592, 1593],['St.', 'Kitt']
VanityFair,[1947],['Pinkerton']
