Frankenstein,0.7273,0.8,0.381
Dracula,1.0,0.2857,0.2222
PrideAndPrejudice,0.9412,1.0,0.4848
Ulysses,0.9032,0.9655,0.4667
Emma,0.7111,0.6531,0.3404
DavidCopperfield,0.0625,0.0667,0.0323
HuckleberryFinn,0.84,0.75,0.3962
AliceInWonderland,1.0,0.8387,0.4561
TheCallOfTheWild,0.9677,0.6977,0.4054
VanityFair,0.573,0.6456,0.3036
MobyDick,0.8889,1.0,0.4706
OliverTwist,0.9333,0.875,0.4516
Frankenstein,0.7273,0.8,0.381
Dracula,1.0,0.2857,0.2222
PrideAndPrejudice,0.9412,1.0,0.4848
Ulysses,0.9032,0.9655,0.4667
Emma,0.7111,0.6531,0.3404
DavidCopperfield,0.0625,0.0667,0.0323
HuckleberryFinn,0.84,0.75,0.3962
AliceInWonderland,1.0,0.8387,0.4561
TheCallOfTheWild,0.9677,0.6977,0.4054
VanityFair,0.573,0.6456,0.3036
MobyDick,0.8889,1.0,0.4706
OliverTwist,0.9333,0.875,0.4516
